event_date,ad_format,show_pv,impression_pv,display_failed_pv,impression_show_rate,impression_plus_failed_show_rate,impression_show_rate_dod,impression_plus_failed_show_rate_dod
2026-01-17,rewarded,509231,501293,3302,0.9844117895414851,0.9908960766331979,0.00016655825127720458,-0.0004813810323888168
2026-01-18,interstitial,1536601,1481118,16969,0.9638923832536879,0.9749355883537756,-0.001552108403852337,-0.0007253144658831978
2026-01-18,rewarded,562691,553944,3413,0.9844550561498229,0.9905205521325203,4.326660833775531e-05,-0.00037552450067757093
2026-01-19,interstitial,1446340,1395108,16304,0.9645781766389646,0.9758507681458025,0.000685793385276745,0.0009151797920269322
2026-01-19,rewarded,525769,517641,3725,0.9845407393741358,0.9916255998356692,8.568322431290465e-05,0.001105047703148898
2026-01-20,interstitial,1459341,1407283,15884,0.9643277342307247,0.9752120991598262,-0.0002504424082399037,-0.0006386689859763095
2026-01-20,rewarded,530853,521539,3801,0.9824546531714052,0.989614827456942,-0.0020860862027305416,-0.0020107723787272658
2026-01-21,interstitial,1478183,1427082,15413,0.9654298554373849,0.9758568458709105,0.0011021212066602004,0.0006447467110842764
2026-01-21,rewarded,538835,529893,3791,0.9834049384319875,0.9904404873477038,0.0009502852605822731,0.0008256598907618873
2026-01-22,interstitial,1522299,1468368,15818,0.9645726627948912,0.9749635255623238,-0.0008571926424937315,-0.000893320308586687
2026-01-22,rewarded,548202,538960,3876,0.9831412508527878,0.9902116373161718,-0.00026368757919970065,-0.0002288500315320574
2026-01-23,interstitial,1417334,1368020,14474,0.9652065074287359,0.9754186380909511,0.000633844633844749,0.00045511252862728835
2026-01-23,rewarded,525392,515907,4055,0.9819468130462587,0.989664859761854,-0.0011944378065290584,-0.0005467775543177567
2026-01-24,interstitial,1542849,1489476,17114,0.9654062063105333,0.976498672261511,0.00019969888179738327,0.001080034170559907
2026-01-24,rewarded,578897,569113,4352,0.9830988932400755,0.9906166381929773,0.0011520801938167402,0.0009517784311232624
2026-01-25,interstitial,1628231,1573835,16292,0.9665919639166678,0.9765979151606866,0.0011857576061344854,9.924289917562223e-05
2026-01-25,rewarded,618028,608251,3883,0.9841803283993605,0.9904632152588556,0.001081435159285049,-0.00015342293412168306
2026-01-26,interstitial,1519085,1466350,16269,0.9652850235503609,0.9759947600035548,-0.0013069403663068524,-0.0006031551571318294
2026-01-26,rewarded,574448,564753,4102,0.9831229284460908,0.9902636966270228,-0.0010573999532696998,-0.00019951863183276242
2026-01-27,interstitial,1497931,1442316,17703,0.9628721216130783,0.974690422990111,-0.0024129019372826077,-0.0013043370134437904
2026-01-27,rewarded,570868,559760,4903,0.9805419116152946,0.9891305871059509,-0.0025810168307962567,-0.0011331095210719289
2026-01-28,interstitial,1538733,1482730,16639,0.9636044719909173,0.974417913959082,0.0007323503778389195,-0.00027250903102904456
2026-01-28,rewarded,581078,570039,4613,0.9810025504321279,0.9889412436884549,0.0004606388168333364,-0.0001893434174959907
2026-01-29,interstitial,1604357,1546798,17801,0.9641233216796511,0.9752187324890906,0.0005188496887338356,0.0008008185300086845
2026-01-29,rewarded,595704,584544,5272,0.9812658635832561,0.9901158964855029,0.0002633131511281528,0.0011746527970479814
2026-01-30,interstitial,1593301,1537659,16624,0.9650775340001669,0.9755112185330957,0.0009542123205158459,0.0002924860440051136
2026-01-30,rewarded,585414,575227,4657,0.9825986395952266,0.9905536936253659,0.0013327760119705712,0.0004377971398630276
2026-01-31,interstitial,1610463,1554891,16845,0.9654931532112194,0.9759528781474645,0.000415619211052487,0.0004416596143687057
2026-01-31,rewarded,594874,584604,4731,0.9827358398585246,0.9906887845157125,0.0001372002632979985,0.00013509089034657862
